QName,Namespace,,,,,,,,,,,,
dct,http://purl.org/dc/terms/,,,,,,,,,,,,
ivissem,http://purl.org/ivissem/vocab/,,,,,,,,,,,,
foaf,http://xmlns.com/foaf/0.1/,,,,,,,,,,,,
schema,https://schema.org/,,,,,,,,,,,,
,,,,,,,,,,,,,
  ,Attribute DM,NameSpace Prefix,Property,Descripton,Original Domain,Original Range ,Allowed values/Datatypes,Cardinality,Notes,,ER exactMatch,,
rdfs:domain ivissem:ResearchOutput a subClassOf dct:BibliographicResource,,,,,,,,,,,,,
,researchOutputID,dct,identifier,"An unambiguous reference to the resource within a given context...----Recommended practice is to identify the resource by means of a string conforming to an identification system. Examples include International Standard Book Number (ISBN), Digital Object Identifier (DOI), and Uniform Resource Name (URN). Persistent identifiers should be provided as HTTP URIs.",Unspecified,rdfs:Literal,"xsd:string, ivissem:~, xsd:anyUri",1..n,,,Research_Output>ResearchOutputIdentifier,,
,title,dct,title,Name given to the resource.,Unspecified,rdfs:Literal,xsd:string,1,,,Research_Output>Title,,
,bookTitle,ivissem,bookTitle,Book Title where na document appears,Unspecified,Unspecified,xsd:string,0…1,,,,,
,publicationDate,dct,issued,Date of formal issuance of the resource.,Unspecified,rdfs:Literal,xsd:date,0…1,,,Research_Output>Publication Date,,
,publisher,dct,publisher,An entity responsible for making the resource available.,Unspecified,rangeIncludes: dcterms:Agent,"xsd:string , dcterms:Agent",0…1,,,Research_Output>Role>Person,Role = publisher,
,totalCitations,ivissem,totalCitations,The sum of all citations of a thing,Unspecified,Unspecified,xsd:integer,0…1,,,Research_Output>Total Citations,,
,totalRecommendations,ivissem,totalRecommendations,The sum of all recommendations of a thing,Unspecified,Unspecified,xsd:integer,0..1,,,Is this a calculated field based on Recommendation? There is the Classification global score - Do we want this?,,
,abstract,dct,abstract,A summary of the resource.,Unspecified,Unspecified,xsd:string,0…1,,,Research_Output>Abstract,,
,language,dct,language,A language of the resource.,Unspecified,dcterms:LinguisticSystem,ISO 639-3,0…1,,,Research_Output>Language,,
,platformShares,ivissem,platformShares,Sum of all shares associated to the research output,Unspecified,Unspecified,xsd:integer,0..n,,,Research_Output>Platform Shares,,
,lastModificationDate,dct,modified,Date on which the resource was changed.,Unspecified,rdfs:Literal,xsd:date,0..n,,,Research_Output>Last Modification Date,,
,domain,dct,subject,A topic of the resource.,Unspecified,Unspecified,"xsd:string, terms from: Frascati, UNESCO thesaurus of S&T, ...",0…n,,,Research_Output>ResearchOutputDomain>Subdomains>Domains>,,
,altmetricAttentionScore,ivissem,socialMediaIndicator,Represents the value of the Altmetric Attention Score of the document. According to Altmetric the Altmetric Attention Score for a research output provides an indicator of the amount of attention that it has received.,Unspecified,Unspecified,"xsd:double, xsd:decimal, xsd:float (datatype social media link)",0…1,,,ResearchOutput>AltmericAttentionScore,,
