shapeID,shapeLabel,propertyID,propertyLabel,mandatory,repeatable,valueNodeType,valueDataType,valueConstraint,valueConstraintType,valueShape,note
Output,A published research,,,,,,,,,,
,,rdf:type,Type of Resource,TRUE,TRUE,IRI,,ivissem:ResearchOutput,,,
,,dct:identifier,Unambiguous reference,TRUE,TRUE,LITERAL,xsd:string xsd:anyUri ,,pattern,,from this example
,,dct:title,Name given,TRUE,FALSE,LITERAL,xsd:string,,,,
,,dct:issued,Formal issuance date,FALSE,FALSE,LITERAL,xsd:date,,,,ISO 8601 date format
,,dct:publisher,Publishing entity,FALSE,FALSE,,xsd:string dct:agent,,,,
,,ivissem:totalCitations,Sum of citations,FALSE,FALSE,LITERAL,xsd:integer,,,,
,,ivissem:totalRecommendations,Sum of recommendations,FALSE,FALSE,LITERAL,xsd:integer,,,,
,,dct:abstract,Resource's summary,FALSE,FALSE,LITERAL,xsd:string,,,,
,,dct:language,Resource's language,FALSE,FALSE,,xsd:string,,languageTag,,
,,ivissem:platformShares,Sum of shares in platform,FALSE,TRUE,LITERAL,xsd:integer,,,,
,,dct:modified,Last edited date,FALSE,TRUE,LITERAL,xsd:date,,,,ISO 8601 date format
,,dct:subject,Topic of the resource,FALSE,TRUE,IRI,,"http://vocabularies.unesco.org/thesaurus/,
http://data.europa.eu/8mn/euroscivoc/",IRIstem,,
,,ivissem:SocialMediaIndicator,Altmetric Attention Score,FALSE,FALSE,LITERAL,xsd:double,,,,
,,dct:type,Nature or genre,FALSE,FALSE,IRI,,http://purl.org/coar/resource_type/,IRIstem,,
,,dct:source,Based on related resource,FALSE,FALSE,IRI,,,,,
,,dct:creator,Creating entity,TRUE,TRUE,IRI,foaf:Agent @User,,,,
,,schema:award,Award won by or for this,FALSE,TRUE,LITERAL,xsd:string xsd:anyUri,,,,
User,User of the platform,,,,,,,,,,
,,rdf:type,Type of Resource,TRUE,TRUE,IRI,,ivissem:User,,,
,,dct:identifier,Unambiguous reference,TRUE,TRUE,,,,,,
,,foaf:name,Name for some thing,TRUE,TRUE,LITERAL,xsd:string,,,,
,,foaf:mbox,A personal mailbox,TRUE,TRUE,IRI,,mailto:,,,
,,schema:qualifications,Any academic degrees,TRUE,TRUE,,xsd:string xsd:anyUri,,,,
,,ivissem:totalCitations,Sum of citations,FALSE,FALSE,LITERAL,xsd:integer,,,,
,,ivissem:totalPublications,Sum of publications,TRUE,FALSE,LITERAL,xsd:integer,,,,
,,ivissem:numberOfFollowers,Followers at the platform,TRUE,TRUE,LITERAL,xsd:integer,,,,
,,ivissem:recommends,Resource they recommend,FALSE,TRUE,IRI,,,,ResearchOutput,
,,schema:follows,Uni-directional relation,FALSE,TRUE,IRI,,,,User,
,,dct:subject,A topic of the resource.,FALSE,TRUE,,xsd:string xsd:anyUri,"http://vocabularies.unesco.org/thesaurus/ , http://data.europa.eu/8mn/euroscivoc/",IRIstem,,
,,schema:affiliation,Organization affiliated with,FALSE,TRUE,,xsd:string xsd:anyUri,https://www.grid.ac/,IRIstem,,
,,schema:knowsAbout,Subject they know about,FALSE,TRUE,,xsd:string xsd:anyUri,"http://vocabularies.unesco.org/thesaurus/ ,http://data.europa.eu/8mn/euroscivoc/",IRIstem,,
Knowledge,MetaKnowledge,,,,,,,,,,
,,rdf:type,Type of resource,TRUE,TRUE,IRI,,ivissem:ScientificKnowledge,,,
,,rdf:subject,Reification vocabulary,TRUE,FALSE,IRI,,,,User,
,,rdf:predicate,Reification vocabulary,TRUE,FALSE,IRI,,schema:knowsAbout,,,
,,rdf:object,Reification vocabulary,TRUE,FALSE,,xsd:string xsd:anyUri,"http://vocabularies.unesco.org/thesaurus/ ,http://data.europa.eu/8mn/euroscivoc/",IRIstem,,
,,ivissem:levelOfExpertise,Expertise on topic,TRUE,FALSE,IRI,,http://data.europa.eu/snb/eqf/,,,
Affiliation,MetaAffiliation,,,,,,,,,,
,,rdf:type,Type of resource,TRUE,TRUE,IRI,,ivissem:Affiliation,,,
,,rdf:subject,Reification vocabulary,TRUE,FALSE,IRI,,,,User,
,,rdf:predicate,Reification vocabulary,TRUE,FALSE,IRI,,schema:affiliation,,,
,,rdf:object,Reification vocabulary,TRUE,FALSE,,xsd:string xsd:anyUri,https://www.grid.ac/,IRIstem,,
,,schema:startDate,Start date of affiliation,TRUE,FALSE,LITERAL,xsd:date,,,,ISO 8601 date format
,,schema:endDate,End date of affiliation,TRUE,FALSE,LITERAL,xsd:date,,,,ISO 8601 date format
,,schema:roleName,Function or part played,TRUE,FALSE,LITERAL,xsd:string,,,,
